id,name,type,path,status,license_status,package_default
data_card.metric_card,数据卡片,html_component,20_components/data_cards/metric_card.html,active,self_generated,True
progress_bar.single,单项进度条,html_component,20_components/progress_bars/single_progress.html,active,self_generated,True
product_focus.hero,商品焦点组件,html_component,20_components/product_focus/product_focus.html,active,self_generated,True
chart.ring,环形图,html_component,20_components/charts_ring/ring_chart.html,active,self_generated,True
chart.pie,饼图,html_component,20_components/charts_pie/pie_chart.html,active,self_generated,True
chart.bar,柱状图,html_component,20_components/charts_bar/bar_chart.html,active,self_generated,True
ratio_bar.stacked,占比柱状图,html_component,20_components/ratio_bars/stacked_ratio_bar.html,active,self_generated,True
gen.icon_pressure,压力负荷,icon_or_shape,30_icons/self_generated/pa_icon_pressure.svg,active,self_generated,True
gen.icon_wine_glass,久坐应酬,icon_or_shape,30_icons/self_generated/pa_icon_wine_glass.svg,active,self_generated,True
gen.icon_travel_plane,高频出差,icon_or_shape,30_icons/self_generated/pa_icon_travel_plane.svg,active,self_generated,True
gen.icon_heart_pulse,心脑血管,icon_or_shape,30_icons/self_generated/pa_icon_heart_pulse.svg,active,self_generated,True
gen.icon_checkup_scan,体检筛查,icon_or_shape,30_icons/self_generated/pa_icon_checkup_scan.svg,active,self_generated,True
gen.icon_hospital_bed,住院床位,icon_or_shape,30_icons/self_generated/pa_icon_hospital_bed.svg,active,self_generated,True
gen.icon_companion,陪诊服务,icon_or_shape,30_icons/self_generated/pa_icon_companion.svg,active,self_generated,True
gen.icon_doctor_service,医生服务,icon_or_shape,30_icons/self_generated/pa_icon_doctor_service.svg,active,self_generated,True
gen.icon_hospital,医院资源,icon_or_shape,30_icons/self_generated/pa_icon_hospital.svg,active,self_generated,True
gen.icon_surgery,手术协助,icon_or_shape,30_icons/self_generated/pa_icon_surgery.svg,active,self_generated,True
gen.icon_shield_cross,免疫防护,icon_or_shape,30_icons/self_generated/pa_icon_shield_cross.svg,active,self_generated,True
gen.icon_nutrition_bowl,营养管理,icon_or_shape,30_icons/self_generated/pa_icon_nutrition_bowl.svg,active,self_generated,True
gen.icon_sleep_moon,睡眠管理,icon_or_shape,30_icons/self_generated/pa_icon_sleep_moon.svg,active,self_generated,True
gen.icon_vaccine_syringe,疫苗接种,icon_or_shape,30_icons/self_generated/pa_icon_vaccine_syringe.svg,active,self_generated,True
gen.icon_followup_calendar,随访跟踪,icon_or_shape,30_icons/self_generated/pa_icon_followup_calendar.svg,active,self_generated,True
gen.icon_health_record,健康档案,icon_or_shape,30_icons/self_generated/pa_icon_health_record.svg,active,self_generated,True
gen.icon_report_interpret,报告解读,icon_or_shape,30_icons/self_generated/pa_icon_report_interpret.svg,active,self_generated,True
gen.arrow_right_chevron,右箭头,icon_or_shape,30_icons/self_generated/pa_arrow_right_chevron.svg,active,self_generated,True
gen.arrow_right_soft,柔和右箭头,icon_or_shape,30_icons/self_generated/pa_arrow_right_soft.svg,active,self_generated,True
