asset_id,display_name,category,subcategory,file_path,format,source,source_asset_id,source_url,source_page,semantic_tags,style_tags,replacement_group,color_profile,pa_style_score,safe_for_external,license_status,html_usage,notes
gen.icon_pressure,压力负荷,01_图标_icon,人群画像,01_图标_icon/人群画像/pa_icon_pressure.svg,svg,generated_pingan_component,,,,压力负荷|平安橙|HTML组件,平安橙适配|单色线性|白底友好,audience.pressure,"{""palette"": [""#f05a22"", ""#fff1e8"", ""#ffffff""]}",5,True,self_generated,default_candidate,自绘SVG组件，可直接用于HTML材料。
iconfont.13638706,压力负荷-压力,01_图标_icon,人群画像,01_图标_icon/人群画像/iconfont_audience_pressure_13638706_压力.svg,svg,iconfont_public_search,13638706,https://www.iconfont.cn/search/index?searchType=icon&q=压力,,压力负荷|压力|压力,单色线性|currentColor可控|平安橙可适配,audience.pressure,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
iconfont.25716464,压力负荷-压力,01_图标_icon,人群画像,01_图标_icon/人群画像/iconfont_audience_pressure_25716464_压力.svg,svg,iconfont_public_search,25716464,https://www.iconfont.cn/search/index?searchType=icon&q=压力,,压力负荷|压力|压力,单色线性|currentColor可控|平安橙可适配,audience.pressure,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
gen.icon_wine_glass,久坐应酬,01_图标_icon,人群画像,01_图标_icon/人群画像/pa_icon_wine_glass.svg,svg,generated_pingan_component,,,,久坐应酬|平安橙|HTML组件,平安橙适配|单色线性|白底友好,audience.social_dining,"{""palette"": [""#f05a22"", ""#fff1e8"", ""#ffffff""]}",5,True,self_generated,default_candidate,自绘SVG组件，可直接用于HTML材料。
iconfont.26302605,应酬饮酒-酒杯,01_图标_icon,人群画像,01_图标_icon/人群画像/iconfont_audience_social_dining_26302605_酒杯.svg,svg,iconfont_public_search,26302605,https://www.iconfont.cn/search/index?searchType=icon&q=酒杯,,应酬饮酒|酒杯|酒杯,单色线性|currentColor可控|平安橙可适配,audience.social_dining,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
iconfont.5058344,应酬饮酒-酒杯,01_图标_icon,人群画像,01_图标_icon/人群画像/iconfont_audience_social_dining_5058344_酒杯.svg,svg,iconfont_public_search,5058344,https://www.iconfont.cn/search/index?searchType=icon&q=酒杯,,应酬饮酒|酒杯|酒杯,单色线性|currentColor可控|平安橙可适配,audience.social_dining,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
gen.icon_travel_plane,高频出差,01_图标_icon,人群画像,01_图标_icon/人群画像/pa_icon_travel_plane.svg,svg,generated_pingan_component,,,,高频出差|平安橙|HTML组件,平安橙适配|单色线性|白底友好,audience.travel,"{""palette"": [""#f05a22"", ""#fff1e8"", ""#ffffff""]}",5,True,self_generated,default_candidate,自绘SVG组件，可直接用于HTML材料。
iconfont.658012,高频出差-飞机,01_图标_icon,人群画像,01_图标_icon/人群画像/iconfont_audience_travel_658012_飞机.svg,svg,iconfont_public_search,658012,https://www.iconfont.cn/search/index?searchType=icon&q=飞机,,高频出差|飞机|飞机,单色线性|currentColor可控|平安橙可适配,audience.travel,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
iconfont.990,高频出差-旅行,01_图标_icon,人群画像,01_图标_icon/人群画像/iconfont_audience_travel_990_旅行.svg,svg,iconfont_public_search,990,https://www.iconfont.cn/search/index?searchType=icon&q=飞机,,"高频出差|飞机|飞机,机票",单色线性|currentColor可控|平安橙可适配,audience.travel,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
iconfont.10056205,血压管理-血压,01_图标_icon,医疗检测,01_图标_icon/医疗检测/iconfont_service_blood_pressure_10056205_血压.svg,svg,iconfont_public_search,10056205,https://www.iconfont.cn/search/index?searchType=icon&q=血压,,血压管理|血压|血压,单色线性|currentColor可控|平安橙可适配,service.blood_pressure,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
iconfont.765557,血压管理-血压,01_图标_icon,医疗检测,01_图标_icon/医疗检测/iconfont_service_blood_pressure_765557_血压.svg,svg,iconfont_public_search,765557,https://www.iconfont.cn/search/index?searchType=icon&q=血压,,"血压管理|血压|血压,温度,压力",单色线性|currentColor可控|平安橙可适配,service.blood_pressure,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
gen.icon_heart_pulse,心脑血管,01_图标_icon,医疗检测,01_图标_icon/医疗检测/pa_icon_heart_pulse.svg,svg,generated_pingan_component,,,,心脑血管|平安橙|HTML组件,平安橙适配|单色线性|白底友好,service.cardio,"{""palette"": [""#f05a22"", ""#fff1e8"", ""#ffffff""]}",5,True,self_generated,default_candidate,自绘SVG组件，可直接用于HTML材料。
gen.icon_checkup_scan,体检筛查,01_图标_icon,医疗检测,01_图标_icon/医疗检测/pa_icon_checkup_scan.svg,svg,generated_pingan_component,,,,体检筛查|平安橙|HTML组件,平安橙适配|单色线性|白底友好,service.checkup,"{""palette"": [""#f05a22"", ""#fff1e8"", ""#ffffff""]}",5,True,self_generated,default_candidate,自绘SVG组件，可直接用于HTML材料。
iconfont.5961315,体检筛查-人体检测,01_图标_icon,医疗检测,01_图标_icon/医疗检测/iconfont_service_checkup_5961315_人体检测.svg,svg,iconfont_public_search,5961315,https://www.iconfont.cn/search/index?searchType=icon&q=体检,,"体检筛查|体检|人体检测,人,走路,动作,捕捉",单色线性|currentColor可控|平安橙可适配,service.checkup,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
iconfont.8288892,体检筛查-体检,01_图标_icon,医疗检测,01_图标_icon/医疗检测/iconfont_service_checkup_8288892_体检.svg,svg,iconfont_public_search,8288892,https://www.iconfont.cn/search/index?searchType=icon&q=体检,,体检筛查|体检|体检,单色线性|currentColor可控|平安橙可适配,service.checkup,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
iconfont.42230802,心电心脏-pulse-line,01_图标_icon,医疗检测,01_图标_icon/医疗检测/iconfont_service_heart_42230802_pulse-line.svg,svg,iconfont_public_search,42230802,https://www.iconfont.cn/search/index?searchType=icon&q=心电,,"心电心脏|心电|心跳,心电图",单色线性|currentColor可控|平安橙可适配,service.heart,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
iconfont.643279,心电心脏-心电,01_图标_icon,医疗检测,01_图标_icon/医疗检测/iconfont_service_heart_643279_心电.svg,svg,iconfont_public_search,643279,https://www.iconfont.cn/search/index?searchType=icon&q=心电,,心电心脏|心电|心电,单色线性|currentColor可控|平安橙可适配,service.heart,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
gen.icon_hospital_bed,住院床位,01_图标_icon,服务能力,01_图标_icon/服务能力/pa_icon_hospital_bed.svg,svg,generated_pingan_component,,,,住院床位|平安橙|HTML组件,平安橙适配|单色线性|白底友好,medical.bed,"{""palette"": [""#f05a22"", ""#fff1e8"", ""#ffffff""]}",5,True,self_generated,default_candidate,自绘SVG组件，可直接用于HTML材料。
iconfont.4942304,住院床位-病床,01_图标_icon,服务能力,01_图标_icon/服务能力/iconfont_medical_bed_4942304_病床.svg,svg,iconfont_public_search,4942304,https://www.iconfont.cn/search/index?searchType=icon&q=病床,,"住院床位|病床|病床,床",单色线性|currentColor可控|平安橙可适配,medical.bed,"{""palette"": [""currentColor""], ""fills"": 1}",4,False,needs_review_iconfont,candidate_after_license_review,iconfont公开搜索结果，已筛为单色SVG；外发前需复核授权。
