asset_id,asset_category,source_id,source_title,source_file,page,path,width,height,tags,dominant_colors,recommend_use,page_text_excerpt
PRESALE001_A0025,智能硬件/设备图,PRESALE001,居家养老政企合作版,202409_平安居家养老介绍_[政企合作版].pdf,7,07_售前材料规范与素材库/assets/PRESALE001/PRESALE001_A0025.jpeg,494,316,photo_or_illustration|real_estate_scene|smart_device|养老|客户方案|智能硬件|服务流程,#edeae5|#edece8|#eeebe6|#ece9e4|#f3efec,展示音箱、手表、检测设备、安防传感器、IoT联动方案,平安居家养老提供全场景服务，为长者提供高品质的养老服务 3% 2033年 60岁以上人口 90% 7% 4亿 居家养老 机构养老 社区养老 “9073”养老格局 老人舒心 •核心区位、七星设施 全场景的服务 •专属定制: 科学测评定制个性方案 •全面服务: 10大场景，覆盖医食住 行等一站式服务 •1+N管家、国际标准 当前血压正常 子女放心 •七维健康、精
PRESALE001_A0026,智能硬件/设备图,PRESALE001,居家养老政企合作版,202409_平安居家养老介绍_[政企合作版].pdf,7,07_售前材料规范与素材库/assets/PRESALE001/PRESALE001_A0026.jpeg,599,848,photo_or_illustration|real_estate_scene|smart_device|养老|客户方案|智能硬件|服务流程,#f6f6f6|#f7f7f7|#f6f6f7|#f3f4f8|#f5f5f5,展示音箱、手表、检测设备、安防传感器、IoT联动方案,平安居家养老提供全场景服务，为长者提供高品质的养老服务 3% 2033年 60岁以上人口 90% 7% 4亿 居家养老 机构养老 社区养老 “9073”养老格局 老人舒心 •核心区位、七星设施 全场景的服务 •专属定制: 科学测评定制个性方案 •全面服务: 10大场景，覆盖医食住 行等一站式服务 •1+N管家、国际标准 当前血压正常 子女放心 •七维健康、精
PRESALE001_A0027,智能硬件/设备图,PRESALE001,居家养老政企合作版,202409_平安居家养老介绍_[政企合作版].pdf,7,07_售前材料规范与素材库/assets/PRESALE001/PRESALE001_A0027.jpeg,581,848,photo_or_illustration|real_estate_scene|smart_device|养老|客户方案|平安橙|智能硬件|服务流程,#fad59e|#fafafa|#f9f9f9|#f8f8f8|#fcd9a4,展示音箱、手表、检测设备、安防传感器、IoT联动方案,平安居家养老提供全场景服务，为长者提供高品质的养老服务 3% 2033年 60岁以上人口 90% 7% 4亿 居家养老 机构养老 社区养老 “9073”养老格局 老人舒心 •核心区位、七星设施 全场景的服务 •专属定制: 科学测评定制个性方案 •全面服务: 10大场景，覆盖医食住 行等一站式服务 •1+N管家、国际标准 当前血压正常 子女放心 •七维健康、精
PRESALE001_A0028,智能硬件/设备图,PRESALE001,居家养老政企合作版,202409_平安居家养老介绍_[政企合作版].pdf,7,07_售前材料规范与素材库/assets/PRESALE001/PRESALE001_A0028.jpeg,577,290,photo_or_illustration|real_estate_scene|smart_device|养老|客户方案|智能硬件|服务流程,#1b1f1e|#1c201f|#1a1e1d|#1a201e|#191f1f,展示音箱、手表、检测设备、安防传感器、IoT联动方案,平安居家养老提供全场景服务，为长者提供高品质的养老服务 3% 2033年 60岁以上人口 90% 7% 4亿 居家养老 机构养老 社区养老 “9073”养老格局 老人舒心 •核心区位、七星设施 全场景的服务 •专属定制: 科学测评定制个性方案 •全面服务: 10大场景，覆盖医食住 行等一站式服务 •1+N管家、国际标准 当前血压正常 子女放心 •七维健康、精
PRESALE001_A0029,智能硬件/设备图,PRESALE001,居家养老政企合作版,202409_平安居家养老介绍_[政企合作版].pdf,7,07_售前材料规范与素材库/assets/PRESALE001/PRESALE001_A0029.jpeg,845,474,layout_reference|photo_or_illustration|real_estate_scene|smart_device|养老|客户方案|智能硬件|服务流程,#32404d|#394754|#313f4c|#33414e|#34424f,展示音箱、手表、检测设备、安防传感器、IoT联动方案,平安居家养老提供全场景服务，为长者提供高品质的养老服务 3% 2033年 60岁以上人口 90% 7% 4亿 居家养老 机构养老 社区养老 “9073”养老格局 老人舒心 •核心区位、七星设施 全场景的服务 •专属定制: 科学测评定制个性方案 •全面服务: 10大场景，覆盖医食住 行等一站式服务 •1+N管家、国际标准 当前血压正常 子女放心 •七维健康、精
PRESALE001_A0034,智能硬件/设备图,PRESALE001,居家养老政企合作版,202409_平安居家养老介绍_[政企合作版].pdf,7,07_售前材料规范与素材库/assets/PRESALE001/PRESALE001_A0034.jpeg,634,299,photo_or_illustration|real_estate_scene|smart_device|养老|客户方案|智能硬件|服务流程,#8cbbd5|#6c5d56|#a0918a|#cebfbc|#a1928b,展示音箱、手表、检测设备、安防传感器、IoT联动方案,平安居家养老提供全场景服务，为长者提供高品质的养老服务 3% 2033年 60岁以上人口 90% 7% 4亿 居家养老 机构养老 社区养老 “9073”养老格局 老人舒心 •核心区位、七星设施 全场景的服务 •专属定制: 科学测评定制个性方案 •全面服务: 10大场景，覆盖医食住 行等一站式服务 •1+N管家、国际标准 当前血压正常 子女放心 •七维健康、精
PRESALE001_A0103,智能硬件/设备图,PRESALE001,居家养老政企合作版,202409_平安居家养老介绍_[政企合作版].pdf,11,07_售前材料规范与素材库/assets/PRESALE001/PRESALE001_A0103.jpeg,490,238,medical_service|photo_or_illustration|smart_device|企业健康|养老|客户方案|智能硬件|服务流程,#f58941|#f58940|#f48a40|#7a4321|#ff8e3d,展示音箱、手表、检测设备、安防传感器、IoT联动方案,依托三位一体管家优势服务体系，对老人开展一跟到底主动关怀服务 重点进展 核心策略 智能管家 生活管家 医生管家 7*24h守护陪伴实时响应 平安管 服务 一站式安排数百项服务 定制养老服务建议方案 多领域专家支持 多渠道实时联系 智能音箱2.0全面升级 数十个设备核心场景体验 一键响应 一管终生 一跟到底 年服务80万+人次 打造医生+健康管理师模式 医生接
PRESALE001_A0105,智能硬件/设备图,PRESALE001,居家养老政企合作版,202409_平安居家养老介绍_[政企合作版].pdf,11,07_售前材料规范与素材库/assets/PRESALE001/PRESALE001_A0105.jpeg,490,238,medical_service|photo_or_illustration|smart_device|企业健康|养老|客户方案|智能硬件|服务流程,#f58941|#f58940|#f48a40|#ff8d3d|#774121,展示音箱、手表、检测设备、安防传感器、IoT联动方案,依托三位一体管家优势服务体系，对老人开展一跟到底主动关怀服务 重点进展 核心策略 智能管家 生活管家 医生管家 7*24h守护陪伴实时响应 平安管 服务 一站式安排数百项服务 定制养老服务建议方案 多领域专家支持 多渠道实时联系 智能音箱2.0全面升级 数十个设备核心场景体验 一键响应 一管终生 一跟到底 年服务80万+人次 打造医生+健康管理师模式 医生接
PRESALE001_A0107,智能硬件/设备图,PRESALE001,居家养老政企合作版,202409_平安居家养老介绍_[政企合作版].pdf,11,07_售前材料规范与素材库/assets/PRESALE001/PRESALE001_A0107.jpeg,490,238,medical_service|photo_or_illustration|smart_device|企业健康|养老|客户方案|智能硬件|服务流程,#f58941|#be6a35|#ff8c3d|#f6883f|#ff8c3e,展示音箱、手表、检测设备、安防传感器、IoT联动方案,依托三位一体管家优势服务体系，对老人开展一跟到底主动关怀服务 重点进展 核心策略 智能管家 生活管家 医生管家 7*24h守护陪伴实时响应 平安管 服务 一站式安排数百项服务 定制养老服务建议方案 多领域专家支持 多渠道实时联系 智能音箱2.0全面升级 数十个设备核心场景体验 一键响应 一管终生 一跟到底 年服务80万+人次 打造医生+健康管理师模式 医生接
PRESALE001_A0149,智能硬件/设备图,PRESALE001,居家养老政企合作版,202409_平安居家养老介绍_[政企合作版].pdf,11,07_售前材料规范与素材库/assets/PRESALE001/PRESALE001_A0149.jpeg,917,372,medical_service|photo_or_illustration|smart_device|企业健康|养老|客户方案|智能硬件|服务流程,#753a1f|#feede3|#f9f1ea|#f15510|#4e1e09,展示音箱、手表、检测设备、安防传感器、IoT联动方案,依托三位一体管家优势服务体系，对老人开展一跟到底主动关怀服务 重点进展 核心策略 智能管家 生活管家 医生管家 7*24h守护陪伴实时响应 平安管 服务 一站式安排数百项服务 定制养老服务建议方案 多领域专家支持 多渠道实时联系 智能音箱2.0全面升级 数十个设备核心场景体验 一键响应 一管终生 一跟到底 年服务80万+人次 打造医生+健康管理师模式 医生接
